Time	    Potential	Current	    Reflectivity
0.000000	0.605244	0.002172	-2.449445
0.100000	0.605720	0.002418	-2.449677
0.200000	0.606245	0.002489	-2.449726
0.300000	0.606789	0.002633	-2.450055
0.400000	0.607078	0.002366	-2.449746
0.500000	0.607496	0.002624	-2.449255
0.600000	0.608018	0.002756	-2.449351
0.700000	0.608550	0.002689	-2.449185
0.800000	0.609086	0.002811	-2.448719
0.900000	0.609605	0.002880	-2.449038
1.000000	0.610154	0.002837	-2.449121
1.100000	0.610687	0.002982	-2.448597
1.200000	0.611177	0.002536	-2.448637
1.300000	0.611705	0.002535	-2.448742
1.400000	0.612261	0.002975	-2.448949
1.500000	0.612775	0.002902	-2.448608
1.600000	0.613017	0.002832	-2.448053
1.700000	0.613528	0.003083	-2.448435
1.800000	0.614055	0.003036	-2.448197
1.900000	0.614608	0.003163	-2.448198
2.000000	0.615126	0.003185	-2.448114
2.100000	0.615662	0.003155	-2.448244
2.200000	0.616194	0.003293	-2.448201
2.300000	0.616684	0.003255	-2.447903
2.400000	0.617170	0.003240	-2.447699
2.500000	0.617679	0.003382	-2.447933
2.600000	0.618129	0.003227	-2.447565
2.700000	0.618355	0.003143	-2.447688
2.800000	0.618838	0.003398	-2.447688
2.900000	0.619336	0.003116	-2.447392
3.000000	0.619870	0.002910	-2.447587
3.100000	0.620393	0.003401	-2.447407
3.200000	0.620924	0.003371	-2.447322
3.300000	0.621454	0.003527	-2.446904
3.400000	0.621965	0.003526	-2.447227
3.500000	0.622499	0.003469	-2.447095
3.600000	0.623022	0.003631	-2.446734
3.700000	0.623549	0.003552	-2.446731
3.800000	0.623949	0.003341	-2.446621
3.900000	0.624287	0.003589	-2.446515
4.000000	0.624802	0.003567	-2.446755
4.100000	0.625356	0.003680	-2.446770
4.200000	0.625859	0.003721	-2.446511
4.300000	0.626410	0.003640	-2.446547
4.400000	0.626967	0.003804	-2.446282
4.500000	0.627480	0.003791	-2.446590
4.600000	0.628029	0.003584	-2.446554
4.700000	0.628559	0.003177	-2.446326
4.800000	0.629083	0.003690	-2.446084
4.900000	0.629600	0.003787	-2.446249
5.000000	0.629865	0.003579	-2.445920
5.100000	0.630309	0.003743	-2.445921
5.200000	0.630881	0.003882	-2.445485
5.300000	0.631388	0.003929	-2.445347
5.400000	0.631900	0.003840	-2.445279
5.500000	0.632453	0.004005	-2.445356
5.600000	0.632975	0.003998	-2.445280
5.700000	0.633506	0.003946	-2.445379
5.800000	0.634039	0.004103	-2.444800
5.900000	0.634534	0.004051	-2.444846
6.000000	0.635108	0.004077	-2.445049
6.100000	0.635561	0.003945	-2.444984
6.200000	0.635829	0.003952	-2.444947
6.300000	0.636376	0.004093	-2.444966
6.400000	0.636889	0.003187	-2.444417
6.500000	0.637413	0.003860	-2.444342
6.600000	0.637952	0.004157	-2.444378
6.700000	0.638469	0.004179	-2.444243
6.800000	0.638966	0.004141	-2.444636
6.900000	0.639486	0.004304	-2.444706
7.000000	0.639983	0.004249	-2.444469
7.100000	0.640532	0.004262	-2.444315
7.200000	0.641074	0.004390	-2.444343
7.300000	0.641382	0.003995	-2.444165
7.400000	0.641803	0.004272	-2.444296
7.500000	0.642300	0.004363	-2.444348
7.600000	0.642817	0.004304	-2.444205
7.700000	0.643382	0.004490	-2.443983
7.800000	0.643897	0.004464	-2.443700
7.900000	0.644445	0.004393	-2.443588
8.000000	0.644998	0.004213	-2.443416
8.100000	0.645506	0.003689	-2.443419
8.200000	0.646067	0.004370	-2.442953
8.300000	0.646592	0.004521	-2.442720
8.400000	0.647087	0.004406	-2.442446
8.500000	0.647326	0.004301	-2.442392
8.600000	0.647832	0.004560	-2.442452
8.700000	0.648354	0.004489	-2.442785
8.800000	0.648880	0.004683	-2.443081
8.900000	0.649386	0.004651	-2.442793
9.000000	0.649930	0.004613	-2.442446
9.100000	0.650477	0.004786	-2.442206
9.200000	0.650972	0.004716	-2.442152
9.300000	0.651521	0.004712	-2.441688
9.400000	0.652042	0.004851	-2.442071
9.500000	0.652550	0.004776	-2.442131
9.600000	0.652981	0.004563	-2.442039
9.700000	0.653314	0.004731	-2.442407
9.800000	0.653843	0.003548	-2.441982
9.900000	0.654384	0.004645	-2.441864
10.000000	0.654894	0.004769	-2.441561
10.100000	0.655402	0.004740	-2.441428
10.200000	0.655951	0.004977	-2.441456
10.300000	0.656474	0.004947	-2.441362
10.400000	0.657028	0.004937	-2.441141
10.500000	0.657542	0.005053	-2.441156
10.600000	0.658044	0.004980	-2.441139
10.700000	0.658600	0.005058	-2.440961
10.800000	0.658860	0.004770	-2.440683
10.900000	0.659312	0.004933	-2.440449
11.000000	0.659872	0.005124	-2.440015
11.100000	0.660379	0.005131	-2.439659
11.200000	0.660898	0.005055	-2.439819
11.300000	0.661476	0.005262	-2.439769
11.400000	0.661971	0.005208	-2.439706
11.500000	0.662485	0.004927	-2.439768
11.600000	0.662986	0.004368	-2.439277
11.700000	0.663491	0.005074	-2.439704
11.800000	0.664053	0.005214	-2.439458
