scan221	scan229	scan231	scan236	scan243	scan244
strain_oop_p0	1.1125	0.9573125	1.100125	0.971609375	1.0539375	0.95028125
strain_oop_p2	1.64703125	1.598796875	1.602234375	1.61121875	1.787296875	1.577703125
strain_oop_y1	0.4424	0.44885	0.37392	0.40433	0.29349	0.40921
strain_oop_p1	1.34856	1.37832	1.4	1.4	1.545	1.36773
strain_oop	-0.28929	-0.3372	-0.37693	-0.35357	-0.22388	-0.36833
strain_oop	-0.20636	-0.18776	-0.31537	-0.24127	-0.36337	-0.24769
strain_ip_p0	1.03390625	0.948484375	1.018171875	0.971609375	1.006984375	0.95028125
strain_ip_p2	1.721328125	1.639578125	1.83528125	1.621140625	1.834328125	1.63746875
strain_ip_y1	-0.08852	-0.08933	-0.12912	-0.14044	-0.13962	-0.12105
strain_ip_p1	1.34856	1.37832	1.40089	1.4	1.545	1.36773
strain_ip	-0.05301	-0.07407	-0.08239	-0.1378	-0.13365	-0.15574
strain_ip	0	0	-0.0195	-0.02007	-0.05617	-0.02892
grain_size_ip_p0	1.017890625	0.948484375	1.018171875	0.937859375	1.006984375	0.95028125
grain_size_ip_p2	1.7403125	1.639578125	1.83528125	1.643484375	1.834328125	1.63746875
grain_size_ip_y1	18.10571	18.175	18.09153	18.12705	17.87604	18.01618
grain_size_ip_p1	1.34906	1.37832	1.4	1.4	1.545	1.36773
grain_size_ip	-0.74673	-0.90408	-0.51439	-0.95305	-0.51953	-0.98286
grain_size_ip	-0.06154	-0.05919	-0.22793	-0.17392	-0.4171	-0.2092
grain_size_oop_p0	1.017890625	0.948484375	1.018171875	0.937859375	1.006984375	0.95028125
grain_size_oop_p2	1.593671875	1.639578125	1.8129375	1.643484375	1.834328125	1.63746875
grain_size_oop_y1	13.79726	13.84683	13.64601	13.72489	13.43912	13.68487
grain_size_oop_p1	1.34856	1.37832	1.4	1.4	1.545	1.36773
grain_size_oop	-1.12176	-0.98759	-0.60604	-1.02187	-0.82365	-1.23831
grain_size_oop	-0.40295	-0.42164	-0.69131	-0.55353	-0.80008	-0.62808
ave_p	1.348685	1.37832	1.4002225	1.4	1.545	1.36773
pH	10	13	8	13	7	13
