O3_3_0,   O3_8_0
O4_3_0,   O4_8_0
O3_4_0,   O3_7_0
O4_4_0,   O4_7_0
O5_3_0,   O5_8_0
O5_4_0,   O5_7_0
Al1_3_0,   Al1_8_0
Al1_4_0,   Al1_7_0
Al2_3_0,   Al2_8_0
Al2_4_0,   Al2_7_0
O1_3_0,   O1_8_0
O1_4_0,   O1_7_0
O2_3_0,   O2_8_0
O2_4_0,   O2_7_0
O6_3_0,   O6_8_0
O6_4_0,   O6_7_0
Al3_3_0,   Al3_8_0
Al3_4_0,   Al3_7_0
Al3_5_0,   Al3_2_1
Al3_6_0,   Al3_1_1
O6_5_0,   O6_2_1
O6_6_0,   O6_1_1
O2_5_0,   O2_2_1
O2_6_0,   O2_1_1
O1_5_0,   O1_2_1
O1_6_0,   O1_1_1
Al2_5_0,   Al2_2_1
Al2_6_0,   Al2_1_1
Al1_5_0,   Al1_2_1
Al1_6_0,   Al1_1_1
O5_5_0,   O5_2_1
O5_6_0,   O5_1_1
O4_5_0,   O4_2_1
O3_5_0,   O3_2_1
O4_6_0,   O4_1_1
O3_6_0,   O3_1_1
